Altium Designer Pick and Place Locations
D:\Projects\RGV\PCB\RGV_Apalis_PCBA_V0.1\Project Outputs for RGV_PCBA_V0.1\Pick Place for RGV_Control_1V21.csv

========================================================================================================================
File Design Information:

Date:       03/04/19
Time:       15:55
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"C178","0.1uf-50V-10%-0603","TopLayer","CAPC0603","82.4230","82.3722","180","33pf-50V-5%-0603","82.4230","82.3722","83.1980","82.3722"
"C177","27pf-50V-1%-0603","TopLayer","CAPC0603","82.4230","87.9856","180","33pf-50V-5%-0603","82.4230","87.9856","83.1980","87.9856"
"R64","22R-5%-0603","BottomLayer","T_RESC0603X30N","191.6176","8.2042","90","Resistor 22 ohm 63mW 5% 0603","191.6176","8.2042","191.6176","7.4792"
"D43","CESDLC5V0M5","BottomLayer","SOT-563","194.8180","9.5504","360","ESD Protection Diode Array","194.8180","9.5504","194.0280","9.0504"
"TP11","Testpin","TopLayer","T_TP-THT","25.4762","112.3696","90","Testpin TH","25.4762","112.3696","25.4762","112.3696"
"U21","MBR20100CT","TopLayer","TO-220","63.1444","5.3354","180","MBR20100CT","63.1444","5.3354","60.6044","3.2004"
"X7","101-00565-64","BottomLayer","T__AMPHENOL_101-00565","121.6574","13.9621","180","SD/MMC 8bit Card Holder","134.9574","0.0246","133.9574","25.3996"
"D42","ESD9L5.0ST5G","BottomLayer","LC-SOD-923","217.0250","11.9000","270","TVS Diode","217.0250","11.9000","217.0250","11.4500"
"D41","ESD9L5.0ST5G","BottomLayer","LC-SOD-923","215.7730","13.2588","90","TVS Diode","215.7730","13.2588","215.7730","13.7088"
"D40","PTVSHC3D12VU","BottomLayer","LC-SOD-323","215.7000","9.5500","270","TVS Diode","215.7000","9.5500","215.7000","8.3700"
"D39","ESD9L5.0ST5G","TopLayer","LC-SOD-923","170.7896","10.7442","270","TVS Diode","170.7896","10.7442","170.7896","10.2942"
"D38","ESD9L5.0ST5G","TopLayer","LC-SOD-923","172.5422","12.2428","90","TVS Diode","172.5422","12.2428","172.5422","12.6928"
"D37","PTVSHC3D12VU","TopLayer","LC-SOD-323","164.2750","16.0500","270","TVS Diode","164.2750","16.0500","164.2750","14.8700"
"D36","PTVSHC3D12VU","TopLayer","LC-SOD-323","193.0750","30.8250","270","TVS Diode","193.0750","30.8250","193.0750","29.6450"
"C176","100nf-50V-10%-0603","TopLayer","T_CAPC0603X33N","183.4642","21.8948","180","","183.4642","21.8948","184.2392","21.8948"
"C175","100uf-10V-10%-3528-TA","TopLayer","T_CAPMP3216X180N","191.3750","28.0750","90","","191.3750","28.0750","191.3750","26.7750"
"C174","22pf-50V-5%-0402-NP0","TopLayer","CAPC0402","193.3500","26.0750","180","","193.3500","26.0750","193.8400","26.0750"
"C173","100pf-50V-10%-0603-X7R","TopLayer","T_CAPC0603X33N","193.5734","27.0902","180","","193.5734","27.0902","194.3484","27.0902"
"C172","100nf-50V-10%-0603-X7R","TopLayer","T_CAPC0603X33N","193.5734","28.3464","180","","193.5734","28.3464","194.3484","28.3464"
"TP10","Testpin","BottomLayer","T_TP-THT","200.7362","26.6700","90","Testpin TH","200.7362","26.6700","200.7362","26.6700"
"IC8","="Manucfacturer Part NO."","BottomLayer","LC-QFN-24_4x4x05P","211.3250","16.8000","180","Single-Chip USB To Dual UART Bridge","211.3250","16.8000","212.5750","14.8000"
"LED10","LEDºì_0805","TopLayer","LC-0805_LED_S3","121.7600","7.7250","180","0805LEDÂÌ","121.7600","7.7250","120.8700","7.7250"
"R144","1K_0603","TopLayer","T_RESC0603X30N","125.9638","7.6488","180","Resistor 1 Kohm 63mW 5% 0603","125.9638","7.6488","126.6888","7.6488"
