Altium Designer Pick and Place Locations
D:\Projects\RGV\PCB\RGV_PCBA_V0.1\Project Outputs for RGV_PCBA_V0.1\Pick Place for RGV_Control_1V21.txt

========================================================================================================================
File Design Information:

Date:       23/03/19
Time:       17:49
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                            Layer       Footprint               Center-X(mil) Center-Y(mil) Rotation Description                                    
C178       0.1uf-50V-10%-0603                 TopLayer    CAPC0603                3245.000      3243.000      180      33pf-50V-5%-0603                               
C177       27pf-50V-1%-0603                   TopLayer    CAPC0603                3245.000      3464.000      180      33pf-50V-5%-0603                               
R64        22R-5%-0603                        BottomLayer T_RESC0603X30N          7544.000      323.000       90       "Resistor 22 ohm 63mW 5% 0603"                 
D43        CESDLC5V0M5                        BottomLayer SOT-563                 7670.000      376.000       360      "ESD Protection Diode Array"                   
TP11       Testpin                            TopLayer    T_TP-THT                1003.000      4424.000      90       "Testpin TH"                                   
U21        MBR20100CT                         TopLayer    TO-220                  2486.000      210.055       180      MBR20100CT                                     
X7         101-00565-64                       BottomLayer T__AMPHENOL_101-00565   4789.661      549.689       180      "SD/MMC 8bit Card Holder"                      
D42        ESD9L5.0ST5G                       BottomLayer LC-SOD-923              8544.291      468.504       270      "TVS Diode"                                    
D41        ESD9L5.0ST5G                       BottomLayer LC-SOD-923              8495.000      522.000       90       "TVS Diode"                                    
D40        PTVSHC3D12VU                       BottomLayer LC-SOD-323              8492.126      375.984       270      "TVS Diode"                                    
D39        ESD9L5.0ST5G                       TopLayer    LC-SOD-923              6724.000      423.000       270      "TVS Diode"                                    
D38        ESD9L5.0ST5G                       TopLayer    LC-SOD-923              6793.000      482.000       90       "TVS Diode"                                    
D37        PTVSHC3D12VU                       TopLayer    LC-SOD-323              6467.520      631.890       270      "TVS Diode"                                    
D36        PTVSHC3D12VU                       TopLayer    LC-SOD-323              7601.378      1213.583      270      "TVS Diode"                                    
C176       100nf-50V-10%-0603                 TopLayer    T_CAPC0603X33N          7223.000      862.000       180      ""                                             
C175       100uf-10V-10%-3528-TA              TopLayer    T_CAPMP3216X180N        7534.449      1105.315      90       ""                                             
C174       22pf-50V-5%-0402-NP0               TopLayer    CAPC0402                7612.205      1026.575      180      ""                                             
C173       100pf-50V-10%-0603-X7R             TopLayer    T_CAPC0603X33N          7621.000      1066.543      180      ""                                             
C172       100nf-50V-10%-0603-X7R             TopLayer    T_CAPC0603X33N          7621.000      1116.000      180      ""                                             
TP10       Testpin                            BottomLayer T_TP-THT                7903.000      1050.000      90       "Testpin TH"                                   
IC8        "="Manucfacturer Part NO.""        BottomLayer LC-QFN-24_4x4x05P       8319.882      661.417       180      "Single-Chip USB To Dual UART Bridge"          
LED10      LEDºì_0805                          TopLayer    LC-0805_LED_S3          4793.701      304.134       180      0805LEDÂÌ                                       
R144       1K_0603                            TopLayer    T_RESC0603X30N          4959.205      301.134       180      "Resistor 1 Kohm 63mW 5% 0603"                 
T11        DTC043ZEBTL                        TopLayer    SOT-416FL               4980.976      381.464       90       "Bias Resistor Build-in NPN Transistor"        
C169       100nF                              TopLayer    T_CAPC0603X33N          8164.370      3234.252      360      "Capacitor Ceramic X7R 100nF 50V 20% 0603"     
R141       100R                               TopLayer    T_RESC0603X30N          8286.315      3234.252      180      "Resistor 120 ohm 63mW 5% 0603"                
C171       100nF                              TopLayer    T_CAPC0603X33N          8015.748      2471.878      360      "Capacitor Ceramic X7R 100nF 50V 20% 0603"     
R143       100R                               TopLayer    T_RESC0603X30N          8016.732      2419.713      360      "Resistor 120 ohm 63mW 5% 0603"                
C170       100nF                              TopLayer    T_CAPC0603X33N          8011.339      1644.685      360      "Capacitor Ceramic X7R 100nF 50V 20% 0603"     
R142       100R                               TopLayer    T_RESC0603X30N          8013.779      1698.819      360      "Resistor 120 ohm 63mW 5% 0603"                
C168       100nF                              TopLayer    T_CAPC0603X33N          7971.457      5060.039      360      "Capacitor Ceramic X7R 100nF 16V 10% 0603"     
IC4        B0505XT-1W                         TopLayer    MORNSUN_B0305XT-1W_SMD  7167.000      2171.040      0        "MORNSUN Isolated DC/DC Converter"             
IC31       B0505XT-1W                         BottomLayer MORNSUN_B0305XT-1W_SMD  7371.000      4868.000      270      "MORNSUN Isolated DC/DC Converter"             
IC17       B0505XT-1W                         BottomLayer MORNSUN_B0305XT-1W_SMD  4810.039      3944.882      360      "MORNSUN Isolated DC/DC Converter"             
IC7        B0505XT-1W                         BottomLayer MORNSUN_B0305XT-1W_SMD  668.457       4745.354      270      "MORNSUN Isolated DC/DC Converter"             
Y2         10nf-2KV-10%-1210                  BottomLayer 1210                    894.000       1252.000      360      33pf-50V-5%-0603                               
Y1         10nf-2KV-10%-1210                  TopLayer    1210                    891.000       1080.000      180      33pf-50V-5%-0603                               
X6         RAPC722X                           TopLayer    DC-005                  443.287       3244.583      270      "Power Jack"                                   
X5         CON-USB                            TopLayer    2.54*4p                 8619.094      491.142       360      "USB  Connector"                               
X4         CON-USB                            TopLayer    2.54*4p                 6611.000      438.000       180      "USB  Connector"                               
X3         NB-IOT-CARD                        BottomLayer QFN127P600X500X90_HS-9N 7612.000      542.000       360      "NB-IOT CARD"                                  
X2         L829-1J1T-43                       TopLayer    T_BEL_L829-1J1T-43      8160.649      3678.000      270      "Low profile 10/100/1G Mag Jack"               
X1         CON-JAE-MM70-314-310B1-314-0.5mm   TopLayer    T_JAE_MM70-314-310B1    4932.457      2340.394      270      "MXM3 Connector"                               
U20        AVO120-48S12B-6L                   BottomLayer AVO120-48S12B-6L        2217.000      1088.000      0        Ç¶ÈëÊ½48-12VµçÔ´Ä£¿é                                  
U19        MBR3045PT                          TopLayer    TO-3P                   1969.000      1739.000      180      ²å×°Ð¤ÌØ»ù¶þ¼«¹Ü£¬¼ÓÉ¢ÈÈÆ¬                                  
U18        BC20                               TopLayer    BC20                    7650.976      584.638       360      ""                                             
U17        MOCD217-M                          TopLayer    HCPL0601                1205.000      4618.000      0        ""                                             
U16        MOCD217-M                          TopLayer    HCPL0601                1205.000      4971.000      0        ""                                             
U15        SN54AHCT541                        TopLayer    TSSOP-20                1845.000      4708.606      0        ""                                             
U14        TLP185                             TopLayer    SO_PHT-4                2952.333      4813.000      180      ¹âñî                                             
U13        TLP185                             TopLayer    SO_PHT-4                3756.000      4388.000      90       ¹âñî                                             
U12        TLP185                             TopLayer    SO_PHT-4                3756.000      4132.000      90       ¹âñî                                             
U11        PCN-112D3MHZ-001                   BottomLayer CRH-1C                  2792.000      4426.000      270      Ì©¿Æ¼ÌµçÆ÷                                          
U10        PCN-112D3MHZ-001                   BottomLayer CRH-1C                  2791.000      4164.000      270      Ì©¿Æ¼ÌµçÆ÷                                          
U9         TLP185                             TopLayer    SO_PHT-4                2696.666      4813.000      180      ¹âñî                                             
U8         TLP185                             TopLayer    SO_PHT-4                2441.000      4813.000      180      ¹âñî                                             
U7         TLP185                             TopLayer    SO_PHT-4                2160.000      4813.000      180      ¹âñî                                             
U6         TLP185                             BottomLayer SO_PHT-4                2012.795      4781.496      360      ¹âñî                                             
U5         TLP185                             TopLayer    SO_PHT-4                3726.000      4813.000      180      ¹âñî                                             
U4         TLP185                             BottomLayer SO_PHT-4                1741.063      4785.441      360      ¹âñî                                             
U3         TLP185                             TopLayer    SO_PHT-4                3471.000      4813.000      180      ¹âñî                                             
U2         TLP185                             BottomLayer SO_PHT-4                1454.024      4784.441      360      ¹âñî                                             
U1         TLP185                             TopLayer    SO_PHT-4                3208.000      4813.000      180      ¹âñî                                             
TP702      Testpin                            TopLayer    T_TP-THT                7304.000      4300.000      90       "Testpin TH"                                   
TP701      Testpin                            TopLayer    T_TP-THT                7783.000      5111.000      90       "Testpin TH"                                   
TP602      Testpin                            MultiLayer  T_TP-THT                7873.000      2096.000      90       "Testpin TH"                                   
TP601      Testpin                            TopLayer    T_TP-THT                7566.929      1674.000      90       "Testpin TH"                                   
TP8        Testpin                            TopLayer    T_TP-THT                2425.000      3980.000      0        "Testpin TH"                                   
TP7        Testpin                            TopLayer    T_TP-THT                3540.000      269.000       0        "Testpin TH"                                   
TP6        Testpin                            TopLayer    T_TP-THT                2459.000      2398.000      0        "Testpin TH"                                   
TP4        Testpin                            TopLayer    T_TP-THT                3380.000      273.000       0        "Testpin TH"                                   
TP3        Testpin                            TopLayer    T_TP-THT                2420.000      3744.000      0        "Testpin TH"                                   
TP2        Testpin                            BottomLayer T_TP-THT                5285.000      1349.000      180      "Testpin TH"                                   
TP1        Testpin                            TopLayer    T_TP-THT                2293.000      2933.000      0        "Testpin TH"                                   
T10        T-Vishay-SI-1024X-N                TopLayer    SOTFL50P160X60-6N       3299.031      2784.905      180      "Dual N-Channel 20V (D-S)  MOSFET"             
T8         T-Vishay-SI-1024X-N                TopLayer    SOTFL50P160X60-6N       2656.126      2167.260      0        "Dual N-Channel 20V (D-S)  MOSFET"             
T7         DMP2022LSS-13                      TopLayer    SOIC127P600X173-8N      2934.551      2332.260      0        "p-channel MOSFET, DMP2022LSS-13"              
T6         DTC043ZEBTL                        TopLayer    SOT-416FL               7743.685      1088.669      270      "Bias Resistor Build-in NPN Transistor"        
T5         DTC043ZEBTL                        TopLayer    SOT-416FL               7221.669      701.685       180      "Bias Resistor Build-in NPN Transistor"        
T4         DTC043ZEBTL                        TopLayer    SOT-416FL               8090.331      658.315       360      "Bias Resistor Build-in NPN Transistor"        
T3         DTC043ZEBTL                        TopLayer    SOT-416FL               7451.772      1067.913      180      "Bias Resistor Build-in NPN Transistor"        
T2         FDS6982AS                          TopLayer    SOIC127P600X173-8N      963.595       3512.024      180      "N-Channel PowerTrench SyncFET"                
T1         FDS6982AS                          TopLayer    SOIC127P600X173-8N      1857.000      3512.000      0        "N-Channel PowerTrench SyncFET"                
SW2        TD-03XB                            TopLayer    T_WMF_TD-03XB           2843.347      2721.205      180      "Push Button"                                  
SW1        TD-03XB                            TopLayer    T_WMF_TD-03XB           6888.000      933.000       180      "Push Button"                                  
RP1        10K*4                              TopLayer    CN4                     1827.750      4941.905      360      ÌùÆ¬ÅÅ×è                                           
RA11       22R_5%_0603*4                      TopLayer    T_Resistor_Array_X4     5901.673      4012.795      360      ""                                             
RA10       22R                                TopLayer    T_Resistor_Array_X4     6227.591      2630.748      0        "Resistor Array 22 R 63mW 5% 1206"             
RA9        22R                                TopLayer    T_Resistor_Array_X4     6082.591      2729.252      0        "Resistor Array 22 R 63mW 5% 1206"             
RA8        22R                                TopLayer    T_Resistor_Array_X4     6184.055      2862.205      0        "Resistor Array 22 R 63mW 5% 1206"             
RA7        22R                                TopLayer    T_Resistor_Array_X4     6227.591      2389.252      0        "Resistor Array 22 R 63mW 5% 1206"             
RA6        22R                                TopLayer    T_Resistor_Array_X4     6082.591      2505.748      0        "Resistor Array 22 R 63mW 5% 1206"             
RA5        22R                                TopLayer    T_Resistor_Array_X4     6082.591      2290.252      0        "Resistor Array 22 R 63mW 5% 1206"             
RA4        22R                                TopLayer    T_Resistor_Array_X4     6263.409      3749.252      360      "Resistor Array 22 R 63mW 5% 1206"             
RA3        22R                                TopLayer    T_Resistor_Array_X4     5189.961      3063.976      180      "Resistor Array 22 R 63mW 5% 1206"             
RA2        22R                                TopLayer    T_Resistor_Array_X4     5136.811      893.700       270      "Resistor Array 22 R 63mW 5% 1206"             
RA1        22R                                TopLayer    T_Resistor_Array_X4     6242.126      3953.740      360      "Resistor Array 22 R 63mW 5% 1206"             
R140       10K                                TopLayer    0805R                   3138.780      2720.472      270      "Resistor 100 Kohm 63mW 5% 0603"               
R139       2K_5%_2010                         BottomLayer 2010                    8183.307      5109.252      360      ""                                             
R138       2K_5%_2010                         BottomLayer 2010                    8312.992      5112.205      360      "Resistor 2 Kohm 500mW 5% 2010"                
R137       2K_5%_2010                         BottomLayer 2010                    4235.236      5208.661      270      "Resistor 2 Kohm 500mW 5% 2010"                
R136       2K_5%_2010                         BottomLayer 2010                    3975.394      5208.661      270      "Resistor 2 Kohm 500mW 5% 2010"                
R135       100R                               BottomLayer T_RESC0603X30N          5431.102      123.031       180      "Resistor 120 ohm 63mW 5% 0603"                
R134       100R                               TopLayer    T_RESC0603X30N          8070.000      4119.000      360      "Resistor 120 ohm 63mW 5% 0603"                
R133       0R                                 TopLayer    T_RESC3216X760N         6252.000      3350.394      180      "Resistor 0 ohm 63mW 1% 1206"                  
R132       0R                                 TopLayer    T_RESC3216X760N         5402.000      4236.000      270      "Resistor 0 ohm 63mW 1% 1206"                  
R131       0R                                 TopLayer    T_RESC3216X760N         5809.000      4236.000      270      "Resistor 0 ohm 63mW 1% 1206"                  
R130       0R                                 TopLayer    T_RESC3216X760N         6050.000      4236.000      270      "Resistor 0 ohm 63mW 1% 1206"                  
R129       0R                                 TopLayer    T_RESC3216X760N         6246.000      4237.000      270      "Resistor 0 ohm 63mW 1% 1206"                  
R128       1MR                                TopLayer    T_RESC0603X30N          7346.503      4862.163      90       "Resistor 1Mohm 63mW 5% 0603"                  
R127       100K                               TopLayer    T_RESC0603X30N          6961.625      4690.493      360      "Resistor 100 Kohm 63mW 5% 0603"               
R126       12K                                TopLayer    T_RESC0603X30N          7037.000      4964.000      270      "Resistor 12 Kohm 63mW 1% 0603"                
R125       100K                               TopLayer    T_RESC0603X30N          6891.011      4580.163      180      "Resistor 100 Kohm 63mW 5% 0603"               
R124       100K                               TopLayer    T_RESC0603X30N          6856.000      4630.000      180      "Resistor 100 Kohm 63mW 5% 0603"               
R123       100K                               TopLayer    T_RESC0603X30N          6756.011      4667.163      270      "Resistor 100 Kohm 63mW 5% 0603"               
R122       22R                                TopLayer    T_RESC0603X30N          6969.011      4564.163      90       "Resistor 22 ohm 63mW 5% 0603"                 
R121       100K                               TopLayer    T_RESC0603X30N          6992.136      4641.281      180      "Resistor 100 Kohm 63mW 5% 0603"               
R120       NA                                 TopLayer    T_RESC0603X30N          7640.000      5119.000      180      "Resistor NA 63mW  0603"                       
